#stokes,freq,ind,real,imag,etax,etay
9,882.33200000,44,-4.15122300,4.56634730,0.92000000,1.00000000
9,882.33200000,45,-1.21629060,-1.98830600,0.92000000,1.00000000
9,882.33200000,46,0.58484900,-4.08668000,0.92000000,1.00000000
9,882.33200000,47,0.46622440,-0.62927980,0.92000000,1.00000000
9,882.33200000,48,7.27713800,-3.00560460,0.92000000,1.00000000
9,882.33200000,49,10.27171380,-0.32930480,0.92000000,1.00000000
9,882.33200000,50,-1.22697090,0.30822530,0.92000000,1.00000000
9,882.33200000,51,-1.40587160,0.06859210,0.92000000,1.00000000
9,882.33200000,52,-0.66502100,-0.45490340,0.92000000,1.00000000
9,882.33200000,53,0.58252710,-3.12972310,0.92000000,1.00000000
9,882.33200000,54,-0.71733700,5.72042690,0.92000000,1.00000000
9,882.33200000,55,0.24200580,0.23486820,0.92000000,1.00000000
9,882.33200000,56,0.09140540,0.59172870,0.92000000,1.00000000
9,882.33200000,57,0.11198590,0.42509200,0.92000000,1.00000000
9,882.33200000,58,0.79269510,0.09657010,0.92000000,1.00000000
9,882.33200000,59,0.56501410,-0.20119970,0.92000000,1.00000000
9,882.33200000,60,-25.48107680,8.66121070,0.92000000,1.00000000
9,882.33200000,61,3.54826060,0.45533500,0.92000000,1.00000000
9,882.33200000,62,-5.13109130,5.10658450,0.92000000,1.00000000
9,882.33200000,63,3.84167010,-1.08729280,0.92000000,1.00000000
9,882.33200000,64,-5.08687820,-3.96208810,0.92000000,1.00000000
9,882.33200000,65,1.47930130,-3.32115000,0.92000000,1.00000000
10,882.33200000,0,-0.00118350,0.01030370,0.92000000,1.00000000
10,882.33200000,1,0.06986440,0.19930360,0.92000000,1.00000000
10,882.33200000,2,-10.53448580,43.30757120,0.92000000,1.00000000
10,882.33200000,3,-130.22559800,309.32118230,0.92000000,1.00000000
10,882.33200000,4,0.06640830,0.06864860,0.92000000,1.00000000
10,882.33200000,5,0.03908580,-0.32313620,0.92000000,1.00000000
10,882.33200000,6,0.22314010,-0.22885740,0.92000000,1.00000000
10,882.33200000,7,0.06056130,0.19306590,0.92000000,1.00000000
10,882.33200000,8,-10.82588930,28.56821940,0.92000000,1.00000000
10,882.33200000,9,21.02717070,-80.08696840,0.92000000,1.00000000
10,882.33200000,10,238.02621450,-559.44355150,0.92000000,1.00000000
10,882.33200000,11,-0.23596330,-40.52666320,0.92000000,1.00000000
10,882.33200000,12,0.30398610,0.15266100,0.92000000,1.00000000
10,882.33200000,13,-0.14146540,-0.03877230,0.92000000,1.00000000
10,882.33200000,14,-0.56768960,-0.40355160,0.92000000,1.00000000
10,882.33200000,15,-0.08254760,-0.47918760,0.92000000,1.00000000
10,882.33200000,16,0.11169490,0.39979430,0.92000000,1.00000000
10,882.33200000,17,-0.27210180,-0.03780430,0.92000000,1.00000000
10,882.33200000,18,-4.80983450,25.45194880,0.92000000,1.00000000
10,882.33200000,19,18.34233380,-46.36748110,0.92000000,1.00000000
10,882.33200000,20,-3.49529350,-0.86627190,0.92000000,1.00000000
10,882.33200000,21,64.71705950,-197.66504350,0.92000000,1.00000000
10,882.33200000,22,2.64561160,11.21064060,0.92000000,1.00000000
10,882.33200000,23,18.32966610,-47.40981940,0.92000000,1.00000000
10,882.33200000,24,-0.58921840,-0.31784260,0.92000000,1.00000000
10,882.33200000,25,0.44979420,0.11606560,0.92000000,1.00000000
10,882.33200000,26,0.84829100,0.02172380,0.92000000,1.00000000
10,882.33200000,27,0.02185210,0.01557470,0.92000000,1.00000000
10,882.33200000,28,0.25542300,0.03161140,0.92000000,1.00000000
10,882.33200000,29,0.12099270,0.23879620,0.92000000,1.00000000
10,882.33200000,30,-0.73410580,-0.23199840,0.92000000,1.00000000
10,882.33200000,31,0.44007600,-0.72550870,0.92000000,1.00000000
10,882.33200000,32,-3.47426650,7.08112160,0.92000000,1.00000000
10,882.33200000,33,0.84522290,-15.63177270,0.92000000,1.00000000
10,882.33200000,34,4.32597980,0.50462520,0.92000000,1.00000000
10,882.33200000,35,-12.53836990,44.86227540,0.92000000,1.00000000
10,882.33200000,36,-6.78806260,18.36633880,0.92000000,1.00000000
10,882.33200000,37,7.00285890,-16.32409820,0.92000000,1.00000000
10,882.33200000,38,-6.59309480,11.13338860,0.92000000,1.00000000
10,882.33200000,39,3.47348720,-11.91586770,0.92000000,1.00000000
10,882.33200000,40,0.42210130,0.11798290,0.92000000,1.00000000
10,882.33200000,41,-0.36043070,-0.01133770,0.92000000,1.00000000
10,882.33200000,42,-0.35527210,0.30203800,0.92000000,1.00000000
10,882.33200000,43,0.33260740,-0.22547880,0.92000000,1.00000000
10,882.33200000,44,0.31830290,-0.13359910,0.92000000,1.00000000
10,882.33200000,45,0.25877280,-0.19502480,0.92000000,1.00000000
10,882.33200000,46,-0.23516710,-0.01346390,0.92000000,1.00000000
10,882.33200000,47,-0.08485330,-0.02684150,0.92000000,1.00000000
10,882.33200000,48,0.64329350,0.10823810,0.92000000,1.00000000
10,882.33200000,49,-0.33115630,0.67709670,0.92000000,1.00000000
10,882.33200000,50,-0.72685610,2.98161630,0.92000000,1.00000000
10,882.33200000,51,0.42485170,-0.03251990,0.92000000,1.00000000
10,882.33200000,52,-1.84221060,-0.18386390,0.92000000,1.00000000
10,882.33200000,53,-2.59708060,9.10455300,0.92000000,1.00000000
10,882.33200000,54,6.29103320,-17.02556260,0.92000000,1.00000000
10,882.33200000,55,0.78185740,-0.22410370,0.92000000,1.00000000
10,882.33200000,56,0.16515080,1.26870590,0.92000000,1.00000000
10,882.33200000,57,-1.19646730,0.74844550,0.92000000,1.00000000
10,882.33200000,58,2.49916890,-0.43416940,0.92000000,1.00000000
10,882.33200000,59,-0.28258930,1.38918070,0.92000000,1.00000000
10,882.33200000,60,-0.28678230,0.01664900,0.92000000,1.00000000
10,882.33200000,61,-0.03844560,0.05594710,0.92000000,1.00000000
10,882.33200000,62,-0.21832500,-0.19924320,0.92000000,1.00000000
10,882.33200000,63,-0.44254320,0.33344430,0.92000000,1.00000000
10,882.33200000,64,-0.37229710,0.14408470,0.92000000,1.00000000
10,882.33200000,65,-0.04380150,-0.02836690,0.92000000,1.00000000
11,882.33200000,0,0.02103720,-0.03744540,0.92000000,1.00000000
11,882.33200000,1,0.04301970,0.17026900,0.92000000,1.00000000
11,882.33200000,2,-13.97796010,25.27714850,0.92000000,1.00000000
11,882.33200000,3,-56.78323790,213.24081810,0.92000000,1.00000000
